,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1086642,85.0
1,Memento,2000,8.5,80,934309,85.0
2,Snatch,2000,8.3,55,657875,83.0
3,Requiem for a Dream,2000,8.3,68,633662,83.0
4,X-Men,2000,7.4,64,494999,74.0
5,Cast Away,2000,7.8,73,431922,78.0
6,American Psycho,2000,7.6,64,393035,76.0
7,Unbreakable,2000,7.2,62,282040,72.0
8,Meet the Parents,2000,7.0,73,276182,70.0
9,Mission: Impossible II,2000,6.1,59,261448,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,243242,78.0
11,Gone in Sixty Seconds,2000,6.5,35,231531,65.0
12,Wo hu cang long,2000,7.9,93,228624,79.0
13,The Patriot,2000,7.2,63,222320,72.0
14,Almost Famous,2000,7.9,90,220818,79.0
15,Pitch Black,2000,7.1,49,203847,71.0
16,Scary Movie,2000,6.2,48,200249,62.0
17,"Me, Myself & Irene",2000,6.6,49,197249,66.0
18,Final Destination,2000,6.7,36,195303,67.0
19,The Beach,2000,6.6,43,192304,66.0
20,Amores perros,2000,8.1,83,188664,81.0
21,Traffic,2000,7.6,86,177983,76.0
22,Remember the Titans,2000,7.8,48,172383,78.0
23,What Women Want,2000,6.4,47,169706,64.0
24,Chocolat,2000,7.3,64,159269,73.0
25,How the Grinch Stole Christmas,2000,6.1,46,156192,61.0
26,Charlie's Angels,2000,5.5,52,153435,55.0
27,Miss Congeniality,2000,6.2,43,151605,62.0
28,Chicken Run,2000,7.0,88,151192,70.0
29,High Fidelity,2000,7.5,79,150752,75.0
30,Batoru rowaiaru,2000,7.7,81,148462,77.0
31,Erin Brockovich,2000,7.3,73,146051,73.0
32,The Emperor's New Groove,2000,7.3,70,142729,73.0
33,Road Trip,2000,6.5,55,140858,65.0
34,The Perfect Storm,2000,6.4,59,139788,64.0
35,"Dude, Where's My Car?",2000,5.5,30,122251,55.0
36,Hollow Man,2000,5.7,24,108163,57.0
37,Scream 3,2000,5.5,56,105794,55.0
38,The 6th Day,2000,5.9,49,105098,59.0
39,Billy Elliot,2000,7.7,74,104870,77.0
40,Shanghai Noon,2000,6.6,77,104014,66.0
41,What Lies Beneath,2000,6.6,51,103851,66.0
42,Pay It Forward,2000,7.2,40,101926,72.0
43,The Whole Nine Yards,2000,6.7,47,95746,67.0
44,Coyote Ugly,2000,5.6,27,95568,56.0
45,Men of Honor,2000,7.2,56,95197,72.0
46,The Family Man,2000,6.7,42,90861,67.0
47,Frequency,2000,7.4,67,88172,74.0
48,Faa yeung nin wa,2000,8.1,85,87615,81.0
49,Bedazzled,2000,6.0,49,86383,60.0
50,Little Nicky,2000,5.3,38,85768,53.0
51,Dancer in the Dark,2000,8.0,61,85728,80.0
52,The Cell,2000,6.3,40,84545,63.0
53,Finding Forrester,2000,7.3,62,75839,73.0
54,Bring It On,2000,6.0,52,74896,60.0
55,Malèna,2000,7.5,54,72124,75.0
56,Big Momma's House,2000,5.1,33,71414,51.0
57,U-571,2000,6.6,62,68870,66.0
58,Battlefield Earth,2000,2.4,9,68338,24.0
59,The Road to El Dorado,2000,6.9,51,66233,69.0
60,Space Cowboys,2000,6.4,73,63926,64.0
61,Mission to Mars,2000,5.6,34,63716,56.0
62,Shaft,2000,5.9,50,61728,59.0
63,Romeo Must Die,2000,6.1,52,59994,61.0
64,Wonder Boys,2000,7.4,73,56658,74.0
65,The Gift,2000,6.7,62,55431,67.0
66,Titan A.E.,2000,6.6,48,54203,66.0
67,Vertical Limit,2000,5.9,48,52293,59.0
68,Les rivières pourpres,2000,6.9,49,51499,69.0
69,The Replacements,2000,6.5,30,51129,65.0
70,Proof of Life,2000,6.2,45,51069,62.0
71,Red Planet,2000,5.7,34,50057,57.0
72,Best in Show,2000,7.5,78,48489,75.0
73,The Legend of Bagger Vance,2000,6.7,47,48152,67.0
74,Thirteen Days,2000,7.3,67,47864,73.0
75,Quills,2000,7.3,70,46853,73.0
76,Sexy Beast,2000,7.3,79,46474,73.0
77,Keeping the Faith,2000,6.4,60,46310,64.0
78,Boiler Room,2000,7.0,63,43958,70.0
79,Dinosaur,2000,6.5,56,42396,65.0
80,Nutty Professor II: The Klumps,2000,4.3,38,41981,43.0
81,Nueve reinas,2000,7.9,80,41898,79.0
82,Rules of Engagement,2000,6.4,45,39550,64.0
83,28 Days,2000,6.0,46,37171,60.0
84,The Kid,2000,6.1,45,36211,61.0
85,Shadow of the Vampire,2000,6.9,71,35731,69.0
86,Ginger Snaps,2000,6.8,70,35624,68.0
87,Tigerland,2000,7.0,55,34725,70.0
88,Reindeer Games,2000,5.7,37,33192,57.0
89,Small Time Crooks,2000,6.7,69,32984,67.0
90,Chopper,2000,7.2,65,32970,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,31707,40.0
92,Nurse Betty,2000,6.2,69,30847,62.0
93,Next Friday,2000,6.1,41,30345,61.0
94,Get Carter,2000,5.1,24,28927,51.0
95,Dracula 2000,2000,4.9,26,28746,49.0
96,Dungeons & Dragons,2000,3.7,14,28742,37.0
97,102 Dalmatians,2000,4.9,35,28672,49.0
98,Where the Heart Is,2000,6.8,30,28594,68.0
99,The Way of the Gun,2000,6.7,49,28518,67.0
100,The Skulls,2000,5.6,24,28178,56.0
101,The Art of War,2000,5.7,30,26252,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,24708,77.0
103,You Can Count on Me,2000,7.7,85,24447,77.0
104,Pollock,2000,7.0,77,24278,70.0
105,Loser,2000,5.3,35,24051,53.0
106,The Watcher,2000,5.3,22,23180,53.0
107,Before Night Falls,2000,7.3,85,21796,73.0
108,Autumn in New York,2000,5.5,24,21601,55.0
109,The Contender,2000,7.0,59,21224,70.0
110,Gongdong gyeongbi guyeok JSA,2000,7.9,58,20902,79.0
111,Brother,2000,7.2,47,19656,72.0
112,Under Suspicion,2000,6.5,43,19334,65.0
113,The Million Dollar Hotel,2000,5.9,25,19160,59.0
114,State and Main,2000,6.8,75,18900,68.0
115,Tillsammans,2000,7.5,84,18488,75.0
116,Bounce,2000,5.7,52,18371,57.0
117,Im Juli,2000,7.8,71,17914,78.0
118,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17456,42.0
119,My Dog Skip,2000,7.0,61,17453,70.0
120,Highlander: Endgame,2000,4.6,21,17267,46.0
121,The Yards,2000,6.4,58,17251,64.0
122,Return to Me,2000,6.9,54,17247,69.0
123,The Flintstones in Viva Rock Vegas,2000,3.6,27,16930,36.0
124,Center Stage,2000,6.7,52,16616,67.0
125,Dr. T & the Women,2000,4.6,64,16200,46.0
126,Blinkende lygter,2000,7.7,47,16094,77.0
127,Saving Grace,2000,6.9,62,16043,69.0
128,Love & Basketball,2000,7.2,70,15508,72.0
129,Supernova,2000,4.8,19,15377,48.0
130,Fuck Me,2000,4.5,35,15279,45.0
131,Yi yi,2000,8.1,93,14727,81.0
132,Boys and Girls,2000,5.4,29,14446,54.0
133,The Tigger Movie,2000,6.3,53,14316,63.0
134,Sånger från andra våningen,2000,7.7,76,14101,77.0
135,Urban Legends: Final Cut,2000,4.2,16,13804,42.0
136,The Dish,2000,7.2,74,13465,72.0
137,Der Krieger und die Kaiserin,2000,7.6,64,13378,76.0
138,The Man Who Cried,2000,6.2,40,13085,62.0
139,Gossip,2000,5.9,31,13035,59.0
140,Down to You,2000,4.9,13,12900,49.0
141,Bless the Child,2000,5.1,17,12697,51.0
142,Ready to Rumble,2000,5.3,23,12304,53.0
143,Drowning Mona,2000,5.6,25,12180,56.0
144,Cecil B. DeMented,2000,6.2,57,11950,62.0
145,All the Pretty Horses,2000,5.8,55,11888,58.0
146,Italiensk for begyndere,2000,7.1,77,11786,71.0
147,Gangster No. 1,2000,6.8,60,11555,68.0
148,The Ladies Man,2000,5.1,22,11252,51.0
149,Animal Factory,2000,6.6,65,11120,66.0
150,Seom,2000,7.1,61,10918,71.0
151,Blood: The Last Vampire,2000,6.7,44,10711,67.0
152,Hanging Up,2000,4.8,33,10652,48.0
153,Anatomie,2000,6.1,33,10616,61.0
154,Snow Day,2000,5.0,34,9952,50.0
155,Werckmeister harmóniák,2000,8.3,92,9863,83.0
156,Lost Souls,2000,4.8,16,9732,48.0
157,The Next Best Thing,2000,4.7,25,9730,47.0
158,Bait,2000,5.7,39,9531,57.0
159,Code inconnu: Récit incomplet de divers voyages,2000,7.2,74,9356,72.0
160,Bamboozled,2000,6.5,50,9054,65.0
161,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1358829,88.0
162,A Beautiful Mind,2001,8.2,72,685557,82.0
163,"Monsters, Inc.",2001,8.1,78,655929,81.0
164,Donnie Darko,2001,8.1,88,638969,81.0
165,Amélie,2001,8.4,69,589912,84.0
166,Shrek,2001,7.9,84,508813,79.0
167,Harry Potter and the Sorcerer's Stone,2001,7.5,64,502247,75.0
168,Sen to Chihiro no kamikakushi,2001,8.6,96,479864,86.0
169,Ocean's Eleven,2001,7.8,74,436062,78.0
170,Training Day,2001,7.7,69,330173,77.0
171,Black Hawk Down,2001,7.7,74,315005,77.0
172,The Fast and the Furious,2001,6.7,58,296877,67.0
173,The Others,2001,7.6,74,292345,76.0
174,Pearl Harbor,2001,6.1,44,273307,61.0
175,The Mummy Returns,2001,6.3,48,265453,63.0
176,Mulholland Dr.,2001,8.0,83,265144,80.0
177,Artificial Intelligence: AI,2001,7.1,65,256913,71.0
178,Jurassic Park III,2001,5.9,42,240743,59.0
179,Moulin Rouge!,2001,7.6,66,237677,76.0
180,The Royal Tenenbaums,2001,7.6,76,226436,76.0
181,Hannibal,2001,6.8,57,221837,68.0
182,Vanilla Sky,2001,6.9,45,219231,69.0
183,Zoolander,2001,6.6,61,216133,66.0
184,American Pie 2,2001,6.4,43,212334,64.0
185,Blow,2001,7.6,52,211586,76.0
186,Enemy at the Gates,2001,7.6,53,206324,76.0
187,Planet of the Apes,2001,5.7,50,190845,57.0
188,Bridget Jones's Diary,2001,6.7,66,189730,67.0
189,Rush Hour 2,2001,6.6,48,172310,66.0
190,Lara Croft: Tomb Raider,2001,5.8,33,168575,58.0
191,Swordfish,2001,6.5,32,162187,65.0
192,K-PAX,2001,7.4,49,159208,74.0
193,A Knight's Tale,2001,6.9,56,146588,69.0
194,Legally Blonde,2001,6.2,59,145971,62.0
195,Jay and Silent Bob Strike Back,2001,6.9,51,134589,69.0
196,From Hell,2001,6.8,54,132322,68.0
197,I Am Sam,2001,7.6,28,129092,76.0
198,Scary Movie 2,2001,5.3,29,128518,53.0
199,Spy Game,2001,7.1,63,127767,71.0
200,Shallow Hal,2001,5.9,48,115030,59.0
201,The Score,2001,6.8,71,107330,68.0
202,Evolution,2001,6.1,40,106988,61.0
203,The Princess Diaries,2001,6.3,52,104343,63.0
204,Ghost World,2001,7.4,88,101900,74.0
205,Y tu mamá también,2001,7.7,88,97999,77.0
206,Rat Race,2001,6.4,52,97859,64.0
207,Jeepers Creepers,2001,6.1,49,95360,61.0
208,The Mexican,2001,6.1,43,92054,61.0
209,Serendipity,2001,6.9,52,91945,69.0
210,Spy Kids,2001,5.4,71,91243,54.0
211,The Man Who Wasn't There,2001,7.6,73,90979,76.0
212,Behind Enemy Lines,2001,6.4,49,90915,64.0
213,Not Another Teen Movie,2001,5.7,32,85267,57.0
214,Ali,2001,6.8,65,83527,68.0
215,Das Experiment,2001,7.8,60,83096,78.0
216,Lagaan: Once Upon a Time in India,2001,8.2,84,83058,82.0
217,The One,2001,5.9,25,81964,59.0
218,Atlantis: The Lost Empire,2001,6.8,52,81486,68.0
219,Super Troopers,2001,7.1,48,81192,71.0
220,Final Fantasy: The Spirits Within,2001,6.4,49,75586,64.0
221,Sweet November,2001,6.7,27,74991,67.0
222,Monster's Ball,2001,7.1,69,74835,71.0
223,Thir13en Ghosts,2001,5.6,30,69499,56.0
224,Kate & Leopold,2001,6.4,44,69292,64.0
225,Gosford Park,2001,7.3,90,68835,73.0
226,The Wedding Planner,2001,5.2,33,66081,52.0
227,Frailty,2001,7.3,64,66006,73.0
228,Siu Lam juk kau,2001,7.3,68,62367,73.0
229,The Last Castle,2001,6.9,43,60491,69.0
230,Bandits,2001,6.5,60,59622,65.0
231,Joy Ride,2001,6.6,75,56565,66.0
232,Kiss of the Dragon,2001,6.6,58,55589,66.0
233,Le pacte des loups,2001,7.1,57,55246,71.0
234,Waking Life,2001,7.8,82,53204,78.0
235,El espinazo del diablo,2001,7.5,78,52004,75.0
236,Save the Last Dance,2001,6.2,53,50873,62.0
237,The Animal,2001,4.8,43,50328,48.0
238,America's Sweethearts,2001,5.7,44,49743,57.0
239,Cats & Dogs,2001,5.1,47,49155,51.0
240,Original Sin,2001,6.0,33,47564,60.0
241,The Majestic,2001,6.9,27,47212,69.0
242,Session 9,2001,6.5,58,46917,65.0
243,Heartbreakers,2001,6.2,47,46375,62.0
244,How High,2001,6.3,29,45974,63.0
245,Wet Hot American Summer,2001,6.7,42,45696,67.0
246,The Pledge,2001,6.8,71,45542,68.0
247,Ghosts of Mars,2001,4.9,35,45461,49.0
248,Koroshiya 1,2001,7.1,50,45304,71.0
249,15 Minutes,2001,6.1,34,44448,61.0
250,Joe Dirt,2001,5.9,20,44338,59.0
251,The 51st State,2001,6.3,23,44336,63.0
252,La pianiste,2001,7.5,79,43632,75.0
253,Don't Say a Word,2001,6.3,38,42753,63.0
254,Jason X,2001,4.4,25,42365,44.0
255,Freddy Got Fingered,2001,4.5,13,41322,45.0
256,Life as a House,2001,7.5,45,40369,75.0
257,No Man's Land,2001,8.0,84,39741,80.0
258,3000 Miles to Graceland,2001,5.9,21,39506,59.0
259,Rock Star,2001,6.2,54,36444,62.0
260,Dr. Dolittle 2,2001,4.7,49,36337,47.0
261,Driven,2001,4.5,29,35851,45.0
262,Cowboy Bebop: Tengoku no tobira,2001,7.9,61,35247,79.0
263,Saving Silverman,2001,5.9,22,34796,59.0
264,The Curse of the Jade Scorpion,2001,6.8,52,33979,68.0
265,In the Bedroom,2001,7.5,86,33800,75.0
266,Black Knight,2001,4.8,32,32972,48.0
267,The Believer,2001,7.2,75,32507,72.0
268,Hearts in Atlantis,2001,6.9,55,32231,69.0
269,Wasabi,2001,6.6,53,31680,66.0
270,Mean Machine,2001,6.5,45,31326,65.0
271,Lucía y el sexo,2001,7.2,65,31220,72.0
272,Bully,2001,7.0,45,30856,70.0
273,The Shipping News,2001,6.8,47,29819,68.0
274,Captain Corelli's Mandolin,2001,5.9,36,29528,59.0
275,Heist,2001,6.5,66,29264,65.0
276,Exit Wounds,2001,5.5,39,28843,55.0
277,Hedwig and the Angry Inch,2001,7.8,85,27815,78.0
278,Osmosis Jones,2001,6.3,57,27378,63.0
279,The Glass House,2001,5.8,34,27195,58.0
280,Bubble Boy,2001,5.6,41,27074,56.0
281,One Night at McCool's,2001,6.1,46,26571,61.0
282,Antitrust,2001,6.1,31,26440,61.0
283,Jimmy Neutron: Boy Genius,2001,6.0,65,25979,60.0
284,The Tailor of Panama,2001,6.1,66,25068,61.0
285,Hard Ball,2001,6.4,48,23993,64.0
286,Riding in Cars with Boys,2001,6.5,43,23967,65.0
287,Birthday Girl,2001,6.1,51,22398,61.0
288,Crazy/Beautiful,2001,6.5,61,22263,65.0
289,Domestic Disturbance,2001,5.5,29,22248,55.0
290,Valentine,2001,4.7,18,21572,47.0
291,Buffalo Soldiers,2001,6.9,56,21418,69.0
292,Someone Like You...,2001,6.1,32,21091,61.0
293,Monsoon Wedding,2001,7.4,77,20922,74.0
294,Crocodile Dundee in Los Angeles,2001,4.8,37,20905,48.0
295,Impostor,2001,6.2,33,20831,62.0
296,Knockaround Guys,2001,6.1,30,20571,61.0
297,Angel Eyes,2001,5.6,39,20323,56.0
298,Glitter,2001,2.2,14,20048,22.0
299,Down to Earth,2001,5.4,32,19776,54.0
300,Josie and the Pussycats,2001,5.3,47,19678,53.0
301,Enigma,2001,6.4,64,18429,64.0
302,Lost and Delirious,2001,7.0,53,17971,70.0
303,Metoroporisu,2001,7.3,75,17959,73.0
304,O,2001,6.2,53,17838,62.0
305,Lantana,2001,7.3,84,17134,73.0
306,Sennen joyû,2001,7.9,70,17058,79.0
307,Tape,2001,7.3,71,16732,73.0
308,Get Over It,2001,5.8,52,16262,58.0
309,Just Visiting,2001,5.8,38,16168,58.0
310,Human Nature,2001,6.4,56,16099,64.0
311,Tomcats,2001,5.3,15,15944,53.0
312,Storytelling,2001,6.9,50,15863,69.0
313,La stanza del figlio,2001,7.4,73,15658,74.0
314,Made,2001,6.4,62,15633,64.0
315,Iris,2001,7.1,76,15477,71.0
316,Out Cold,2001,6.3,22,15168,63.0
317,Monkeybone,2001,4.7,40,15085,47.0
318,Le placard,2001,7.1,72,14845,71.0
319,Kissing Jessica Stein,2001,6.6,72,14611,66.0
320,Summer Catch,2001,5.0,21,13669,50.0
321,What's the Worst That Could Happen?,2001,5.5,37,13286,55.0
322,The Musketeer,2001,4.7,27,13225,47.0
323,Kairo,2001,6.6,70,13004,66.0
324,Elling,2001,7.6,70,12870,76.0
325,The Lord of the Rings: The Two Towers,2002,8.7,88,1211829,87.0
326,Catch Me If You Can,2002,8.1,76,616308,81.0
327,Spider-Man,2002,7.3,73,588978,73.0
328,Cidade de Deus,2002,8.7,79,583118,87.0
329,The Pianist,2002,8.5,85,561960,85.0
330,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,513289,66.0
331,The Bourne Identity,2002,7.9,68,444228,79.0
332,Harry Potter and the Chamber of Secrets,2002,7.4,63,434933,74.0
333,Minority Report,2002,7.7,80,432558,77.0
334,Ice Age,2002,7.6,60,359249,76.0
335,Gangs of New York,2002,7.5,72,341932,75.0
336,28 Days Later...,2002,7.6,73,321713,76.0
337,Signs,2002,6.7,59,293425,67.0
338,Men in Black II,2002,6.1,49,285119,61.0
339,Equilibrium,2002,7.5,33,278542,75.0
340,The Ring,2002,7.1,57,277100,71.0
341,The Transporter,2002,6.8,51,253903,68.0
342,Insomnia,2002,7.2,78,236627,72.0
343,Phone Booth,2002,7.1,56,222770,71.0
344,Panic Room,2002,6.8,65,221432,68.0
345,Resident Evil,2002,6.7,33,217043,67.0
346,Red Dragon,2002,7.2,60,216587,72.0
347,Road to Perdition,2002,7.7,72,214697,77.0
348,8 Mile,2002,7.0,77,206049,70.0
349,Chicago,2002,7.2,82,185627,72.0
350,Die Another Day,2002,6.1,56,179931,61.0
351,A Walk to Remember,2002,7.4,35,175389,74.0
352,Austin Powers in Goldmember,2002,6.2,62,172722,62.0
353,Blade II,2002,6.7,52,172120,67.0
354,Ying xiong,2002,7.9,85,157837,79.0
355,xXx,2002,5.8,48,156574,58.0
356,25th Hour,2002,7.7,67,156495,77.0
357,Adaptation.,2002,7.7,83,154192,77.0
358,About a Boy,2002,7.1,75,151445,71.0
359,Lilo & Stitch,2002,7.2,73,132116,72.0
360,Bowling for Columbine,2002,8.0,72,128998,80.0
361,Punch-Drunk Love,2002,7.3,78,119400,73.0
362,Mr. Deeds,2002,5.8,24,118517,58.0
363,Reign of Fire,2002,6.2,39,113569,62.0
364,About Schmidt,2002,7.2,85,112276,72.0
365,We Were Soldiers,2002,7.2,65,112099,72.0
366,The Count of Monte Cristo,2002,7.7,61,111969,77.0
367,The Scorpion King,2002,5.5,45,111328,55.0
368,The Hours,2002,7.6,81,108758,76.0
369,The Time Machine,2002,5.9,42,108268,59.0
370,My Big Fat Greek Wedding,2002,6.6,62,108219,66.0
371,John Q,2002,7.1,30,106805,71.0
372,One Hour Photo,2002,6.8,64,102586,68.0
373,Mou gaan dou,2002,8.1,75,100850,81.0
374,Irréversible,2002,7.4,51,95657,74.0
375,Bend It Like Beckham,2002,6.7,66,94674,67.0
376,Van Wilder,2002,6.4,26,93532,64.0
377,Two Weeks Notice,2002,6.1,42,92094,61.0
378,Hable con ella,2002,8.0,86,91880,80.0
379,The Sum of All Fears,2002,6.4,45,91294,64.0
380,Sweet Home Alabama,2002,6.2,45,89346,62.0
381,Ghost Ship,2002,5.5,28,80865,55.0
382,Treasure Planet,2002,7.1,60,80271,71.0
383,The Hot Chick,2002,5.5,29,79695,55.0
384,Scooby-Doo,2002,5.0,35,78251,50.0
385,Confessions of a Dangerous Mind,2002,7.1,67,74910,71.0
386,Analyze That,2002,5.9,37,73659,59.0
387,Maid in Manhattan,2002,5.1,45,73207,51.0
388,Secretary,2002,7.0,63,72379,70.0
389,Jackass: The Movie,2002,6.6,42,72121,66.0
390,Solaris,2002,6.2,65,71082,62.0
391,Unfaithful,2002,6.7,63,68037,67.0
392,The Tuxedo,2002,5.3,30,67450,53.0
393,The Mothman Prophecies,2002,6.5,52,67285,65.0
394,Frida,2002,7.4,61,67265,74.0
395,Cabin Fever,2002,5.6,56,65929,56.0
396,Collateral Damage,2002,5.5,33,64913,55.0
397,40 Days and 40 Nights,2002,5.6,53,64595,56.0
398,Star Trek: Nemesis,2002,6.4,51,62801,64.0
399,Changing Lanes,2002,6.5,69,60601,65.0
400,Windtalkers,2002,6.0,51,59055,60.0
401,S1m0ne,2002,6.1,49,54134,61.0
402,K-19: The Widowmaker,2002,6.7,58,52186,67.0
403,Boksuneun naui geot,2002,7.7,56,50926,77.0
404,Spirit: Stallion of the Cimarron,2002,7.1,52,50552,71.0
405,Spy Kids 2: Island of Lost Dreams,2002,5.1,66,49349,51.0
406,The Sweetest Thing,2002,5.1,32,48887,51.0
407,Queen of the Damned,2002,5.3,30,46567,53.0
408,Eight Legged Freaks,2002,5.4,53,46500,54.0
409,Murder by Numbers,2002,6.1,50,46334,61.0
410,Hart's War,2002,6.3,49,46028,63.0
411,The Rules of Attraction,2002,6.7,50,46008,67.0
412,I Spy,2002,5.4,35,43995,54.0
413,Orange County,2002,6.2,48,43045,62.0
414,Bad Company,2002,5.6,37,41383,56.0
415,Bubba Ho-Tep,2002,7.2,57,40832,72.0
416,Stuart Little 2,2002,5.4,66,40697,54.0
417,The Good Girl,2002,6.5,71,39671,65.0
418,Kung Pow: Enter the Fist,2002,6.2,14,39662,62.0
419,Far from Heaven,2002,7.4,84,38590,74.0
420,The Santa Clause 2,2002,5.6,48,38414,56.0
421,In America,2002,7.8,76,37790,78.0
422,Lilja 4-ever,2002,7.9,82,37615,79.0
423,Dirty Pretty Things,2002,7.4,78,36688,74.0
424,Blood Work,2002,6.4,64,36661,64.0
425,L'auberge espagnole,2002,7.3,65,36034,73.0
426,Death to Smoochy,2002,6.4,38,35888,64.0
427,Whale Rider,2002,7.6,80,35864,76.0
428,Narc,2002,7.2,70,35430,72.0
429,Crossroads,2002,3.4,27,35365,34.0
430,Ju-on,2002,6.7,48,34500,67.0
431,Spun,2002,6.8,41,33505,68.0
432,Dragonfly,2002,6.1,25,33199,61.0
433,Enough,2002,5.7,25,33092,57.0
434,High Crimes,2002,6.3,48,32783,63.0
435,Spider,2002,6.8,83,31760,68.0
436,Undercover Brother,2002,5.8,69,30674,58.0
437,Big Fat Liar,2002,5.4,36,30673,54.0
438,The New Guy,2002,5.9,24,30070,59.0
439,Femme Fatale,2002,6.3,59,30049,63.0
440,Igby Goes Down,2002,7.0,72,29943,70.0
441,Drumline,2002,5.7,63,29684,57.0
442,The Four Feathers,2002,6.5,49,29604,65.0
443,Halloween: Resurrection,2002,4.1,19,29431,41.0
444,May,2002,6.7,58,28629,67.0
445,24 Hour Party People,2002,7.4,85,28613,74.0
446,Antwone Fisher,2002,7.3,62,28461,73.0
447,The Rookie,2002,7.0,72,28161,70.0
448,Boat Trip,2002,4.9,18,27935,49.0
449,The Salton Sea,2002,7.2,41,27593,72.0
450,Blue Crush,2002,5.6,61,27247,56.0
451,White Oleander,2002,7.2,61,26851,72.0
452,Gin gwai,2002,6.7,66,25834,67.0
453,8 femmes,2002,7.1,64,25164,71.0
454,The Quiet American,2002,7.1,84,24844,71.0
455,Undisputed,2002,6.2,58,24623,62.0
456,Rabbit-Proof Fence,2002,7.5,80,24568,75.0
457,Barbershop,2002,6.3,66,24030,63.0
458,The Magdalene Sisters,2002,7.8,83,23344,78.0
459,Hollywood Ending,2002,6.6,46,23153,66.0
460,Rollerball,2002,3.0,14,23057,30.0
461,City by the Sea,2002,6.1,50,22217,61.0
462,Snow Dogs,2002,5.1,29,21789,51.0
463,Friday After Next,2002,5.8,35,21354,58.0
464,Heaven,2002,7.1,68,21330,71.0
465,The Adventures of Pluto Nash,2002,3.8,12,21293,38.0
466,Bloody Sunday,2002,7.7,90,20885,77.0
467,Trapped,2002,6.2,42,20686,62.0
468,Life or Something Like It,2002,5.8,31,20616,58.0
469,The Importance of Being Earnest,2002,6.9,60,19949,69.0
470,Tasogare Seibei,2002,8.1,82,19197,81.0
471,Eight Crazy Nights,2002,5.3,23,19092,53.0
472,The Master of Disguise,2002,3.3,12,19069,33.0
473,Tuck Everlasting,2002,6.7,66,19039,67.0
474,Below,2002,6.2,55,18855,62.0
475,Mies vailla menneisyyttä,2002,7.7,84,18822,77.0
476,Dark Blue,2002,6.6,57,18215,66.0
477,Big Trouble,2002,6.5,47,18167,65.0
478,Feardotcom,2002,3.3,16,17879,33.0
479,Darkness,2002,5.4,15,17430,54.0
480,Ballistic: Ecks vs. Sever,2002,3.6,19,17320,36.0
481,Swimfan,2002,5.0,29,17130,50.0
482,À la folie... pas du tout,2002,7.2,63,16970,72.0
483,Like Mike,2002,5.1,47,16212,51.0
484,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48,16144,60.0
485,Gerry,2002,6.2,54,15970,62.0
486,Roger Dodger,2002,7.0,75,15829,70.0
487,Russkiy kovcheg,2002,7.4,86,15700,74.0
488,The Emperor's Club,2002,6.9,49,15125,69.0
489,Serving Sara,2002,5.3,18,15062,53.0
490,Return to Never Land,2002,5.8,49,14735,58.0
491,Dolls,2002,7.7,71,14102,77.0
492,The Guru,2002,5.4,47,13973,54.0
493,Swept Away,2002,3.6,18,13766,36.0
494,The Lord of the Rings: The Return of the King,2003,8.9,94,1338502,89.0
495,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,890216,80.0
496,Kill Bill: Vol. 1,2003,8.1,69,811674,81.0
497,Finding Nemo,2003,8.1,90,776093,81.0
498,The Matrix Reloaded,2003,7.2,62,448306,72.0
499,X2,2003,7.5,68,442911,75.0
500,Oldeuboi,2003,8.4,74,403113,84.0
501,The Matrix Revolutions,2003,6.7,47,388641,67.0
502,Big Fish,2003,8.0,58,370418,80.0
503,Mystic River,2003,8.0,84,362870,80.0
504,Love Actually,2003,7.7,55,347526,77.0
505,Lost in Translation,2003,7.8,89,346741,78.0
506,The Last Samurai,2003,7.7,55,341731,77.0
507,Terminator 3: Rise of the Machines,2003,6.3,66,327144,63.0
508,Bruce Almighty,2003,6.7,46,320792,67.0
509,The Italian Job,2003,7.0,68,303638,70.0
510,Underworld,2003,7.0,42,226101,70.0
511,The School of Rock,2003,7.1,82,225082,71.0
512,Hulk,2003,5.7,54,224716,57.0
513,2 Fast 2 Furious,2003,5.9,38,212213,59.0
514,21 Grams,2003,7.7,70,201094,77.0
515,Old School,2003,7.2,54,194299,72.0
516,Identity,2003,7.3,64,193138,73.0
517,Bad Boys II,2003,6.6,38,191165,66.0
518,Daredevil,2003,5.3,42,186001,53.0
519,Anger Management,2003,6.2,52,180921,62.0
520,Master and Commander: The Far Side of the World,2003,7.4,81,178671,74.0
521,How to Lose a Guy in 10 Days,2003,6.4,45,172934,64.0
522,American Wedding,2003,6.3,43,172169,63.0
523,Elf,2003,6.9,64,162596,69.0
524,The League of Extraordinary Gentlemen,2003,5.8,30,149102,58.0
525,Once Upon a Time in Mexico,2003,6.4,56,137676,64.0
526,Final Destination 2,2003,6.2,38,129851,62.0
527,S.W.A.T.,2003,6.0,45,125610,60.0
528,Cold Mountain,2003,7.2,73,124751,72.0
529,Johnny English,2003,6.1,51,121818,61.0
